"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"626","Rapgef3",390.7597122,0.409155505,0.160835752,2.543933795,0.010961186,0.264942016
"631","Gfod1",1261.127062,-0.255253473,0.100672219,-2.535490681,0.011228992,0.269264456
"636","Cdh3",8.919695192,2.98110713,1.181378528,2.523414011,0.011622148,0.275855992
"641","Brinp2",941.8248889,0.283772218,0.112603015,2.520112072,0.011731747,0.276931467
"644","Il17d",150.4831846,-0.625089409,0.248283398,-2.51764481,0.011814239,0.277579589
"647","Epb41",4703.186431,-0.177809393,0.070817159,-2.510823585,0.012044987,0.281254173
"653","Chn1",806.8295261,-0.303296068,0.121251821,-2.501373317,0.012371269,0.28618928
"654","Gjb6",490.0666944,-0.351744623,0.140648698,-2.500873649,0.012388737,0.28618928
"661","Tmem117",185.1954796,-0.540350042,0.216471438,-2.496172456,0.012554155,0.287578522
"666","Cx3cl1",385.4175583,-0.404142418,0.162439026,-2.48796381,0.012847681,0.288240868
"668","Kif26b",1354.957473,-0.237442657,0.095325911,-2.490851181,0.012743749,0.288240868
"676","Rbp4",12.37891553,-2.353418351,0.946236078,-2.487136568,0.012877595,0.28824097
"682","Inhba",40.00235984,-1.124237138,0.453999785,-2.476294431,0.013275405,0.292963875
"683","Mgat5b",558.7448216,0.401431664,0.162092911,2.47655287,0.013265798,0.292963875
"685","Prdm8",1067.458447,0.31574284,0.1275656,2.47514095,0.01331836,0.292963875
"687","Sh3bgr",54.97704463,-1.033259097,0.417466317,-2.475071775,0.01332094,0.292963875
"691","Dmbx1",8.278071914,2.849667777,1.154199903,2.468955135,0.013550821,0.296296919
"697","Hapln2",172.0899101,-0.548746592,0.222934508,-2.461469953,0.013836899,0.300596147
"698","Ier3",50.62384343,-0.999844462,0.406568491,-2.459227619,0.013923631,0.300596147
"701","Ttpa",79.32880802,-0.812567019,0.330424568,-2.45916042,0.013926237,0.300596147
"702","Diras2",5316.331755,-0.182191928,0.074121562,-2.458015219,0.013970725,0.301126845
"703","Bdnf",33.77607625,-1.277005772,0.519719094,-2.457107672,0.01400607,0.301459242
"707","Dpp6",3108.308577,-0.188322148,0.076812776,-2.451703465,0.014218178,0.303416905
"708","Eef1a1",12039.72164,0.179234732,0.073135816,2.450710774,0.014257446,0.303416905
"709","Hmgn1",770.4423515,0.328165229,0.133811581,2.452442658,0.014188999,0.303416905
"710","Pde10a",782.0730362,-0.342733056,0.139804268,-2.451520695,0.014225401,0.303416905
"724","Endod1",710.8176344,-0.304482858,0.125124973,-2.433429951,0.014956529,0.312579063
"725","Kifc1",44.0725096,1.085900194,0.446727374,2.430789466,0.015065966,0.314431908
"726","Cdk5r2",1171.027686,-0.255708811,0.105306586,-2.428231891,0.015172639,0.315722336
"727","Hlf",499.7775564,-0.355666527,0.146496992,-2.427807713,0.015190395,0.315722336
"729","Pif1",16.34662559,1.859187588,0.767246322,2.423195179,0.015384658,0.319321353
"730","Car11",440.6103939,-0.36526607,0.150838953,-2.421563282,0.01545391,0.320319334
"733","Syt17",75.59240069,-0.801931152,0.331644548,-2.418044127,0.015604184,0.322427678
"735","Adcy2",263.6709161,-0.445596115,0.18457604,-2.414160127,0.015771529,0.324647108
"736","Dnajc6",2370.157105,-0.201278425,0.083407952,-2.413180273,0.015813996,0.324647108
"737","Jade1",322.9375575,-0.416853049,0.172773688,-2.41271142,0.015834351,0.324647108
"739","Agrn",1289.188113,0.235127885,0.097507626,2.411379448,0.015892305,0.325394401
"740","Hrh1",13.06824567,-2.086373206,0.865736109,-2.409941303,0.015955087,0.325798144
"741","R3hdm2",1540.413953,-0.243645392,0.101095639,-2.410048489,0.0159504,0.325798144
"743","Ryr3",163.2806858,-0.588398356,0.244446666,-2.407062307,0.016081426,0.327494019
"750","Pcdha9",70.89884848,0.839599521,0.349837079,2.399972933,0.016396284,0.329686852
"752","Usf1",461.9632961,0.352653201,0.146895184,2.400713165,0.016363157,0.329686852
"753","Ybx2",151.732182,0.598522793,0.249098609,2.402754453,0.01627211,0.329686852
"755","Kirrel3",1473.931584,-0.227652697,0.095069697,-2.394587374,0.016639079,0.332946969
"757","Tox3",22.65094026,1.458663566,0.609252126,2.394187075,0.01665725,0.332946969
