"","p14_1","p14_2","p14_3","p60_1","p60_2","p60_3","p7_1","p7_2","p7_3","Gene"
"AC121957.1",6.08288996082531,6.05963588649376,7.14351657475585,6.04035857781257,5.55188353774864,7.04822624350174,6.77211247845812,6.50277218788338,6.89469027839813,"AC121957.1"
"AC121967.1",4.44254217144345,4.40173776365751,4.45307066566371,4.34284185378424,4.77976856806867,4.44335055821301,4.88806911319733,5.25326633833327,5.32684084981997,"AC121967.1"
"AC122117.2",6.01945912390444,6.09449220280786,6.07920064953363,6.60568509436918,7.07439446842028,7.39840968738689,5.29917629650479,4.32062439631151,4.62895390602379,"AC122117.2"
"AC122119.2",3.94681959180372,4.78939785464179,4.56528737666322,4.62854551761038,4.47796538215946,5.13519563191127,4.74623803316136,4.85018350304565,4.90292144618743,"AC122119.2"
"AC122211.2",3.94681959180372,4.50284177895054,4.8150177324411,4.50514889364436,4.32345067233676,4.55346984993606,5.38012710352215,5.15449033471646,4.97653352175322,"AC122211.2"
"AC122253.2",4.79729798369832,4.99492132697532,4.94452400717006,4.90235884448628,5.21407974983523,5.38365220440539,5.29917629650479,5.25326633833327,5.50843180518919,"AC122253.2"
"AC122253.3",3.94681959180372,4.40173776365751,3.94681959180372,4.34284185378424,4.47796538215946,4.44335055821301,3.94681959180372,4.4740014290903,4.62895390602379,"AC122253.3"
"AC122399.1",7.55939813850496,7.59614801638292,7.66739511037919,7.37694594150642,7.92070944724446,7.69200759214482,7.04455975367656,6.63282613061681,7.03208232554241,"AC122399.1"
"AC122442.1",9.31568389839338,9.24952745865108,9.06065329596152,9.48325224772267,9.37647581058267,9.50196073532009,8.59163195905946,8.63190161136524,8.49785330831964,"AC122442.1"
"AC122453.1",4.64451239691233,4.26915876137029,3.94681959180372,4.62854551761038,4.32345067233676,4.55346984993606,4.82037893055,4.68833319517471,4.62895390602379,"AC122453.1"
"AC122481.1",4.7250186872057,4.26915876137029,4.45307066566371,4.34284185378424,4.32345067233676,4.55346984993606,4.6636280876042,4.32062439631151,4.34308198590873,"AC122481.1"
"AC122487.1",5.13334508598223,5.39969429953076,5.44673706065815,5.10709643209479,5.72133205376875,5.67501168146027,5.80006125942231,6.03879550240622,6.47653252421161,"AC122487.1"
"AC122487.2",4.92434262379694,4.78939785464179,4.8823193403231,5.32605806654545,5.21407974983523,5.70333229838485,4.30797798885145,4.59072332715974,4.50548537441962,"AC122487.2"
"AC122818.1",5.03478601889008,4.89850070263331,5.00254499174167,4.62854551761038,4.77976856806867,5.087128098259,4.74623803316136,4.68833319517471,4.90292144618743,"AC122818.1"
"AC122818.3",4.55248688125715,4.40173776365751,4.65918668651895,4.97593095163481,4.32345067233676,4.55346984993606,4.82037893055,4.4740014290903,4.97653352175322,"AC122818.3"
"AC122818.4",4.44254217144345,4.26915876137029,4.30570654161492,4.34284185378424,3.94681959180372,4.29878195671709,4.6636280876042,4.59072332715974,4.73210749613293,"AC122818.4"
"AC122821.1",4.92434262379694,4.89850070263331,4.65918668651895,4.82166923979832,5.35328897252414,4.79865924143784,5.11555484286124,5.10116359810749,5.32684084981997,"AC122821.1"
"AC122846.1",3.94681959180372,3.94681959180372,4.45307066566371,3.94681959180372,3.94681959180372,4.44335055821301,4.30797798885145,4.68833319517471,4.90292144618743,"AC122846.1"
"AC122848.1",3.94681959180372,3.94681959180372,4.30570654161492,4.34284185378424,3.94681959180372,4.29878195671709,4.56916238365795,4.59072332715974,4.62895390602379,"AC122848.1"
"AC122861.1",4.55248688125715,4.40173776365751,4.45307066566371,3.94681959180372,3.94681959180372,4.55346984993606,4.45625851106335,4.77365013334238,4.62895390602379,"AC122861.1"
"AC122861.2",4.55248688125715,4.7284351313303,3.94681959180372,4.62854551761038,4.47796538215946,4.29878195671709,4.6636280876042,4.4740014290903,4.50548537441962,"AC122861.2"
"AC122861.4",6.18219331223314,6.41373834169559,7.24847265107085,6.28680807049071,6.2121946778855,7.38241193919962,8.38455436896295,8.18653164869943,8.67385699646991,"AC122861.4"
"AC122898.1",5.75542315497858,5.90994000754259,5.78971812431846,5.6641265409647,5.97737536571799,6.10637253751662,6.02401857573196,6.39637574585245,6.3102915473867,"AC122898.1"
"AC123702.1",4.7250186872057,4.26915876137029,3.94681959180372,4.62854551761038,4.59553872099476,4.79865924143784,4.6636280876042,3.94681959180372,4.62895390602379,"AC123702.1"
"AC124012.2",4.55248688125715,4.40173776365751,4.30570654161492,4.34284185378424,4.32345067233676,4.64563940813467,3.94681959180372,4.32062439631151,3.94681959180372,"AC124012.2"
"AC124108.1",8.32468903880789,8.29006342161107,8.36787869833668,7.54110834158131,7.18460790836528,7.15609986089894,7.83274024790286,7.95107847570757,8.01241828059784,"AC124108.1"
"AC124169.1",4.9812832044218,4.99492132697532,5.10854222600861,5.27553129475972,6.05237821891682,5.38365220440539,5.5598841983811,5.10116359810749,5.04447783797388,"AC124169.1"
