Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
Mctp1,7.795196004,8.051084783,7.560726296,11.17354818,10.83970433,10.76170786,11.21382812,11.57283139,11.60894238,
Mdc1,11.45490885,11.46456183,11.45277831,10.14466631,10.19143657,10.07681891,10.11620491,10.39508767,10.36849188,
Mdfi,8.458277671,8.276696702,8.838064107,10.14700817,9.95343019,10.53517014,9.567962701,9.348663789,9.245396521,
Mdga1,12.61949237,12.56005077,12.90387504,10.24536509,10.41704014,10.14929965,9.410714633,9.707294609,9.501960735,
Mdh1,13.17067845,13.25183951,13.40954159,14.47058147,14.45503224,14.62095214,14.95050038,14.69636757,14.79347865,
Mdh1b,5.115554843,5.044690384,5.044477838,4.981283204,5.039457664,5.291197604,5.420515172,5.656414421,5.835842311,
Mdk,11.22245913,11.01916632,11.36264638,9.954540073,10.04391463,10.33220105,10.14331234,10.16869118,9.943006727,
Mdm1,10.37667149,10.24719677,10.09028908,8.682544035,8.891270378,8.799761471,8.733038935,8.670988858,8.660846223,
Me3,9.289940735,9.216023423,9.506007166,10.41915285,10.24020689,10.4992854,9.903655638,10.0557264,10.02193928,
Med10,10.03706241,10.06286608,10.06370116,9.554993697,9.864085569,9.799266225,9.14157503,8.860285165,8.883118982,
Med30,9.920390794,9.79509181,9.912389578,9.232083369,9.225493642,9.431366205,9.055351056,8.636868684,8.916583468,
Megf10,10.39656552,10.73004254,10.31644029,11.5263425,11.41844245,11.1148771,11.52846164,11.88046783,11.75084368,
Megf11,10.92156978,10.99728925,10.81821093,12.73831097,12.27353463,12.28812908,12.841127,13.23128227,13.20512899,
Megf6,8.645203248,8.628104764,8.738640552,8.36556634,8.147488686,8.372070699,6.963698734,7.335297395,6.729003545,
Meioc,5.299176297,5.299310689,5.107768521,5.343966955,5.235365891,4.88231934,5.984943651,5.752532107,6.126548926,
Meis1,12.16575576,12.09992276,11.87409637,11.18099415,11.33843895,10.89122681,10.6636602,10.7184015,10.85374521,
Meis2,9.3405684,7.869593032,8.927593776,6.750839861,7.436729301,7.371684926,6.551319124,7.488695671,7.652642719,
Melk,10.1671112,10.15928871,10.01555112,7.114025479,7.436729301,6.846809525,4.731640105,4.323450672,3.946819592,
Meltf,4.663628088,4.984543098,4.902921446,5.179093247,4.948052738,5.002544992,6.756965507,6.851162288,6.347291166,
Meox1,6.978446597,6.60145208,6.937343137,7.243607105,7.101544493,7.53098268,5.802548311,6.354756713,6.126548926,
Meox2,5.115554843,5.205081865,5.107768521,4.644512397,4.661754141,4.565287377,4.628545518,3.946819592,3.946819592,
Mep1a,4.950627878,4.850183503,4.822187252,4.552486881,4.502841779,4.453070666,4.342841854,4.323450672,4.298781957,
Mertk,8.17205433,8.022388951,8.173674291,9.126806423,8.520554528,8.961338389,9.14157503,9.421668707,10.10283914,
Mesp2,5.715497399,5.466009544,5.375113881,3.946819592,4.728435131,4.565287377,4.628545518,4.779768568,3.946819592,
Met,6.465675152,7.124023402,6.242228612,5.552079221,4.994921327,5.248511745,5.464877754,4.595538721,5.346102975,
Metrn,11.64019686,11.55269768,11.68647114,12.03428164,12.23772922,12.81146865,13.31565304,13.05866163,13.21607835,
Mettl1,8.791733341,8.612816343,8.769970381,7.433661311,7.61916322,7.906401808,7.858643246,8.000581753,7.940811312,
Mettl27,8.102154363,8.051084783,8.329186398,7.787833506,7.686059765,7.66739511,7.082076982,7.226388512,7.291043244,
Mettl5os,5.063780699,5.044690384,4.902921446,4.924342624,4.948052738,4.659186687,5.464877754,5.622588347,5.554479493,
Mettl7a1,7.710298299,8.010747725,8.173674291,9.247450204,9.260486206,9.532043171,10.45954464,10.16071891,10.18745261,
Mettl9,11.94466588,11.90534633,11.74176854,10.92335446,10.99750291,10.82944244,10.88944457,10.52185819,10.83054742,
Mex3a,12.8981187,12.96055501,13.08564478,10.84619688,11.30665024,10.59007295,7.559232194,7.488695671,7.512970782,
Mex3b,11.4564059,11.58336843,11.40561714,10.4583362,10.54722255,10.17466966,8.477393278,8.726116861,8.440679766,
Mex3d,10.95866463,11.17084978,11.42048279,9.902816097,10.24389102,10.28306049,8.904958562,9.056508505,8.81376175,
Mfap2,8.679840145,8.286374157,8.534819717,7.719900447,7.165848062,7.413215705,6.788447346,6.967225216,6.277706509,
Mfap3l,9.703822253,9.755662271,8.958508474,11.15447246,11.04155643,10.59097053,10.83691647,11.30939819,11.24005893,
Mfap4,12.75805496,12.90249774,13.16612703,9.905585165,10.66730789,10.04310617,7.043716706,6.864545426,6.690012945,
Mfap5,5.853381461,5.770696386,5.835858312,6.775760674,5.889928239,6.241449797,5.626893655,4.927153808,5.383652204,
Mfng,9.067511237,8.769223885,9.018415269,7.295697341,7.403910353,7.646705678,6.92190673,6.664307965,6.839791938,
Mfrp,8.210519127,7.156351315,6.951276218,4.863311954,4.661754141,6.834513109,9.975808685,4.992106598,9.332651211,
Mfsd14b,10.38926803,10.45516715,9.838657626,11.18669578,10.98049171,10.88684813,11.21027241,11.43367622,11.42807252,
Mfsd2a,9.820051415,9.691696618,10.15394908,10.18396988,10.05024079,10.40239723,8.836418887,9.131890461,9.449609818,
Mfsd4a,9.043787714,8.992279214,8.968667615,10.42012131,10.23002673,10.55921836,11.28451474,11.24174019,11.08451885,
Mfsd6,10.19607889,10.16714921,10.19054939,10.9939946,11.08070422,10.96854271,11.14770123,11.46584019,11.3537477,
Mfsd7a,5.559884198,5.38582614,5.7703689,5.519944586,5.62056132,5.705524433,6.475292283,6.076441506,6.065058152,
Mgat5b,12.19623971,12.18431253,12.60768194,10.95242862,11.37333088,11.08269566,10.35778866,10.56276298,10.24780631,
Mgp,7.881313056,7.790018475,8.208446134,10.16329561,8.833706075,9.667588106,10.69554702,9.090499531,10.16560175,
Mhrt,5.063780699,4.984543098,5.044477838,4.298206152,3.946819592,4.565287377,3.946819592,4.323450672,4.726269941,
Mia,6.620138285,6.737325744,6.75828645,7.034247015,7.349767884,7.50051984,5.735300938,5.353288973,5.419957554,
Miat,14.68570557,14.34625691,14.52835561,11.88025398,12.47189034,11.42125216,7.407329232,9.033393816,7.951644571,
Mical1,9.843129841,9.698945682,9.98919823,8.361530567,8.36656474,8.3165965,8.676360326,8.70065309,8.261056613,
Mical2,8.904362058,9.226097101,9.364490556,11.88692353,11.7139969,11.89851026,12.89638072,13.02393164,12.87519529,
Micall2,9.318774585,9.275435345,9.766781195,8.005594309,8.170963861,7.523427913,6.977356453,7.611533832,6.663393457,
Micu3,10.90192607,11.08425891,10.54165944,12.46399234,12.18505454,11.95083493,12.45637014,12.59910381,12.59237851,
Mid1ip1,10.77169137,10.66214272,10.95977996,11.57323657,11.45266763,11.82183664,11.99065399,12.02101746,11.83302068,
Mid2,9.526971394,9.613296089,8.948277148,10.3147064,10.22164373,9.86753742,10.16845425,10.63262939,10.69663061,
Midn,12.41988375,12.52531294,12.8839029,11.42627246,11.5943003,11.49502622,10.31869103,10.4818938,10.22685754,
Mif4gd,8.918928049,8.983396058,9.317587958,9.799413282,9.70209887,9.852642949,10.248305,10.23852527,10.13751884,
Miga2,10.52292804,10.52920475,10.94185953,11.37725245,11.41149889,11.65377439,11.96598676,12.09642857,11.83593573,
Minar1,10.58811738,10.83408925,10.32436701,10.47427586,10.36639774,10.29962741,7.541108342,8.164176329,8.572585313,
Minar2,9.444851861,9.360198271,9.387381563,9.00291103,8.857971551,8.919039474,7.970923006,8.142691216,8.143288678,
Mindy1,10.43352315,10.54939226,10.79748108,12.03617767,12.10984034,12.22246419,11.77173039,11.68128194,11.71130766,
Mindy2,11.83385127,12.2566901,11.74472466,13.46616467,13.26100091,13.0381425,13.15774263,13.41519675,13.43337969,
Mindy4b-ps,4.569162384,4.773650133,4.343081986,6.256573294,6.059635886,6.419829228,6.475292283,6.979545613,6.521962211,
Mink1,11.61718119,11.65498137,11.97404477,12.3764041,12.36029799,12.44774714,12.796534,13.02063243,12.87820317,
Mir124-2hg,10.58811738,10.1260675,9.414874521,9.076062113,8.286487343,8.396969013,9.483252248,10.1593859,9.679664292,
Mir135a-2,5.526132774,5.426639249,5.549601477,3.946819592,4.401737764,3.946819592,4.342841854,4.595538721,4.298781957,
Mir17hg,8.956124076,9.009882808,8.355266917,6.360888194,6.73726156,5.550623596,5.222443067,5.163166643,4.55346985,
Mir1905,7.344011917,6.950190467,7.569703942,5.807755884,5.740079269,5.918448384,3.946819592,4.477965382,4.645639408,
Mir219a-2,5.772515692,5.677543196,5.898077607,5.61380521,5.542622103,5.291197604,5.04383899,5.26256619,4.86477231,
Mir219b,5.164693354,4.920025245,5.32684085,4.552486881,4.789397855,4.944524007,4.505148894,4.693849087,4.55346985,
Mir23b,4.569162384,4.474001429,4.732107496,4.863311954,5.039457664,5.002544992,5.420515172,5.721332054,5.135195632,
Mir296,5.256269211,5.044690384,4.732107496,4.442542171,4.269158761,4.453070666,3.946819592,3.946819592,3.946819592,
Mir3060,5.977552029,5.8848581,6.041450609,5.381467228,5.62056132,5.371738788,5.374307659,5.21407975,5.087128098,
Mir3072,4.820378931,5.044690384,4.902921446,4.298206152,4.502841779,3.946819592,4.628545518,4.323450672,4.86477231,
Mir3074-1,4.663628088,5.044690384,4.902921446,4.924342624,5.081941746,5.291197604,6.331035229,6.052378219,5.860722606,
Mir328,4.663628088,4.850183503,5.044477838,4.725018687,4.789397855,4.453070666,5.275531295,5.436989641,5.346102975,
Mir378a,3.946819592,4.474001429,4.343081986,3.946819592,4.502841779,4.453070666,5.04383899,4.856833997,4.86477231,
Mir412,3.946819592,4.320624396,4.628953906,4.442542171,4.401737764,4.659186687,4.731640105,5.353288973,4.726269941,
Mir453,4.307977989,3.946819592,4.343081986,4.552486881,4.502841779,4.305706542,4.731640105,4.992106598,4.798659241,
Mir6236,8.210519127,9.716910463,11.28286763,7.984724642,6.315583742,7.575487948,7.629505353,6.851162288,6.803836297,
Mir670hg,7.148270034,7.249113136,7.587491184,8.818181914,8.796523169,9.194316627,10.00237302,9.06792821,9.401204871,
Mir6944,4.663628088,4.920025245,4.505485374,3.946819592,4.269158761,4.305706542,3.946819592,3.946819592,3.946819592,
Mir6986,4.820378931,4.773650133,4.902921446,4.298206152,4.269158761,3.946819592,3.946819592,4.323450672,4.55346985,
Mir6991,6.873023779,6.834483048,6.978732828,5.30511618,5.59515262,5.371738788,4.82166924,5.163166643,5.087128098,
Mir7028,4.746238033,4.850183503,5.107768521,4.725018687,4.587560629,4.453070666,4.505148894,4.323450672,4.298781957,
Mir7049,4.888069113,4.920025245,5.32684085,5.133345086,5.199167673,5.057049345,4.342841854,4.323450672,4.443350558,
Mir762,7.076483782,7.259053721,7.336848196,3.946819592,4.502841779,4.741308563,4.342841854,3.946819592,4.925893365,
Mir7664,4.663628088,4.590723327,4.505485374,3.946819592,3.946819592,3.946819592,4.505148894,4.477965382,4.443350558,
Mir9-3hg,11.41594305,11.1048651,11.26444721,10.24863992,10.30424099,10.30291808,9.994124111,10.10086881,9.918459121,
Mirg,8.091884564,8.016580164,8.225521073,8.639893526,9.090750399,8.676487611,10.16698739,9.998727148,9.786019278,
Mis18a,9.404039445,9.453171658,9.134245739,7.829440024,8.194061037,8.179754593,7.366671796,7.226388512,7.078476351,
Mis18bp1,10.33169652,10.28981994,9.503681307,7.635210802,7.524782762,6.635640345,5.866329407,5.551883538,5.585786893,
Mitf,8.152428125,8.128504807,7.587491184,8.736475525,8.550659461,8.480864719,9.020012921,8.879859905,9.161845025,
Mki67,13.42999179,13.37993976,13.43904085,10.06640843,10.24481058,9.303536729,5.769384503,5.656414421,5.036497131,
Mkks,7.968167627,8.170937521,8.025487565,8.639893526,8.760930439,8.938933701,9.291875926,9.101653924,9.249777693,
Mkln1os,6.090724588,6.154376729,6.194835858,7.114025479,6.840113032,7.153387381,7.270689162,7.085812398,7.048226244,
Mkrn2os,5.455497463,5.343435616,5.32684085,5.975369519,5.869593472,5.734238484,6.587801788,6.518304539,6.690012945,
Mkrn3,8.958945901,8.891413546,8.597308538,8.701810356,8.700475205,8.59997258,7.671729001,7.488695671,7.692007592,
Mks1,8.676413744,8.467372762,8.72271607,7.995197489,7.966960219,8.101059274,7.680025751,7.774470944,7.4833129,
Mkx,6.363802668,6.450617534,6.09460647,6.738209265,6.602802947,6.663869899,7.15579446,7.184607908,7.174855235,
Mlc1,12.10882615,12.15365409,12.32948281,13.0458628,12.99407195,13.52372901,13.26856426,13.27624265,13.32304964,
Mlf1,8.122475866,7.823714475,7.924430632,6.562528267,6.554892574,6.592178185,7.504153023,6.411497836,6.67676745,
Mlkl,5.92933418,5.964146159,6.194835858,5.929705679,6.209654439,6.100614354,5.588454398,5.308895091,5.346102975,
Mlnr-ps,4.950627878,4.590723327,4.976533522,4.298206152,4.502841779,4.659186687,3.946819592,3.946819592,3.946819592,
Mlph,5.715497399,5.644825187,6.145678145,7.329388394,7.257118896,7.485040163,8.876496457,8.461646483,8.603753906,
Mlxipl,7.02286654,6.519721978,6.789776609,6.256573294,5.82790653,6.241449797,5.984943651,5.782956826,5.932537704,
Mmp14,11.6379997,11.56811456,11.77781068,10.4507738,10.32959941,10.2241088,9.713756656,9.790602303,9.232172503,
Mmp15,11.36265022,11.20624439,11.61933786,10.3333335,10.27753036,10.5040584,9.675059006,9.551354904,9.490901643,
Mmp16,9.244422727,9.357909838,9.122163255,9.216550871,9.065973966,9.01319274,7.513482251,8.582129798,8.194297945,
Mmp17,9.638479996,9.578345125,9.729453049,9.107685448,9.418852896,9.556150799,11.18223295,11.27658063,11.14570987,
Mmp2,8.6968508,8.393215611,8.796835404,8.051468208,7.888801099,8.131078351,7.324813858,6.942254128,7.048226244,
Mmp20,4.307977989,4.474001429,3.946819592,5.643496973,5.487594175,6.057428298,5.04383899,5.26256619,4.86477231,
Mmp23,6.605453577,6.708267382,7.145187199,7.713561384,7.739506084,8.049586831,8.94662374,8.582129798,8.798881898,
Mmp25,7.281728203,6.974651443,7.43854813,6.916570611,6.73726156,6.894937393,5.374307659,5.436989641,5.266819912,
Mmp28,8.91020615,9.083772417,9.343833184,8.847303959,9.070133082,8.833560323,7.728817916,7.84945899,7.665885431,
Mmp3,4.746238033,5.154490335,5.107768521,4.298206152,4.661754141,5.446737061,4.342841854,3.946819592,4.55346985,
Mmrn1,7.820334759,7.453144423,7.204306905,5.755423155,5.669803199,5.734238484,3.946819592,3.946819592,4.645639408,
Mms22l,9.136423775,9.075437625,8.878144722,6.94965787,7.109744894,6.809589213,5.735300938,6.354756713,6.065058152,
Mn1,9.606463332,9.255902311,9.429652524,7.418109775,7.493957482,6.809589213,6.788447346,7.23664331,7.068465178,
Mnd1,6.328059043,6.468225855,6.194835858,5.8823371,5.9490389,6.22222789,5.107096432,5.551883538,5.419957554,
Mndal,9.713874015,10.00702336,10.0139181,9.404522991,9.76883705,8.857652205,6.193688181,5.8126487,5.909050342,
Mns1,10.8252043,10.773596,10.59177444,8.887109692,9.074280222,8.582000098,8.752752127,8.806745896,8.722083516,
Mob3b,8.63817465,8.75884659,8.350088564,9.770842979,9.565950505,9.465059662,9.388221817,9.759263345,9.803999689,
Mobp,11.28614188,11.78792636,12.24188178,14.8098551,15.09060819,15.03425669,14.32625741,14.57603919,14.86981934,
Mocos,4.663628088,5.044690384,5.32684085,5.417725796,5.304168265,5.517031959,6.475292283,6.052378219,6.043897372,
Mog,8.438175493,8.875495144,9.258108593,12.63095476,12.68469321,12.97250896,11.39826275,11.61525165,11.74154666,
Mon1a,8.613300505,8.620480867,9.184494883,9.005496319,9.204839435,9.603189231,9.936744167,9.694464688,9.705403994,
Morc1,4.820378931,4.984543098,4.976533522,4.924342624,4.994921327,4.565287377,4.342841854,4.323450672,4.298781957,
Morc2b,4.950627878,5.426639249,4.976533522,5.952742141,5.9490389,5.789718124,6.569682018,7.003865941,6.897727867,
Mosmo,10.29980307,10.35550063,9.549500032,10.72760928,10.58183726,10.34502727,11.14024618,11.20474584,11.21003901,
Mospd4,4.307977989,3.946819592,4.343081986,4.797297984,4.401737764,4.88231934,4.82166924,4.693849087,4.982917155,
Mov10,8.438175493,8.366101027,8.673856996,7.641906962,7.860163483,7.469390055,7.107080956,6.929599338,7.11782314,
Mpeg1,9.515522612,9.622856172,9.674688032,8.742689529,8.783912292,8.818295526,8.369087643,8.545807335,8.397835597,
Mplkip,9.351342941,9.391860524,8.985441846,8.656447556,8.65132425,8.669697464,8.223933603,8.104299869,8.421363366,
Mpp2,10.09332307,9.929034542,10.34659233,10.9430268,10.93678033,11.20615475,11.32650465,11.28393821,11.26946684,
Mpp3,11.92281255,12.06002862,12.25990157,12.99412994,13.0411403,13.20585214,12.96148886,13.11663904,12.89227429,
Mpp4,6.449220282,6.358964477,6.218744269,7.171024316,7.101544493,6.883060334,7.991029052,7.91437679,7.779844225,
Mpp6,10.20916376,10.18661503,10.25694033,11.06938301,10.89989813,10.78542562,11.61167735,11.64983145,11.70534246,
Mpp7,9.136423775,9.253441958,8.690328408,10.57162196,10.25579986,10.29522814,10.55907256,10.47869105,10.6318484,
Mppe1,10.10990885,10.11391801,9.735411599,10.79784029,10.96048168,10.53330356,11.13500463,11.22972553,11.14864372,
Mpped1,8.49765769,8.919630509,8.636091937,7.69437348,7.869773207,7.979783268,7.030693493,7.739039357,7.591479227,
Mpv17l,9.700456032,9.939781972,9.354198884,10.80156096,10.57600375,10.57018374,10.69249182,10.7274245,10.91636882,
Mpzl1,11.78305531,11.79892806,11.78452932,11.81806398,11.85614901,12.10611907,10.52168917,10.50306565,10.56313993,
Mpzl2,6.649045069,6.569343591,6.533963778,7.892469378,6.111576499,7.061954643,8.524048268,7.717350543,8.194297945,
Mpzl3,6.398620875,6.617228705,6.436851104,7.931179605,7.770639064,7.747276878,8.8547744,9.161505357,9.180325287,
Mrap,4.746238033,4.850183503,4.732107496,4.797297984,4.728435131,4.88231934,5.588454398,4.927153808,5.489205366,
Mrap2,6.605453577,6.260600531,6.375057986,6.686500454,6.810049749,6.929973861,8.262998016,7.815860436,7.827713187,
Mrc1,9.083112578,8.983396058,8.931061704,8.303805616,8.239169008,7.461499892,7.901787162,7.687909703,7.475800736,
Mreg,7.484773581,8.128504807,7.867466757,9.537244996,9.24769287,9.499896903,10.13132745,10.21433772,10.11848842,
Mrgprf,6.677357109,7.28846293,7.648053761,9.388772462,9.204839435,9.603189231,10.12982231,9.839702476,9.741617823,
Mrgprh,3.946819592,3.946819592,3.946819592,4.552486881,4.728435131,3.946819592,4.82166924,5.109496035,4.925893365,
Mrln,5.685953715,5.800235406,6.041450609,7.49421869,7.821065422,7.78560182,7.620908448,7.427525795,7.366231677,
Mroh1,11.04544337,10.94643741,11.38933792,11.60210971,11.59393955,11.62295287,12.2023305,12.57131161,12.05784412,
Mroh2a,8.740159655,8.605110754,8.597308538,7.486788647,7.840748101,7.687788691,7.984358354,7.93329131,8.035480777,
Mroh3,6.112220008,5.770696386,5.867353683,5.8823371,5.806528255,5.705524433,4.731640105,4.779768568,4.726269941,
Mroh5,4.307977989,4.590723327,4.822187252,5.552079221,5.16162396,5.734238484,6.849347069,6.890932124,6.491831939,
Mroh7,5.559884198,5.205081865,5.508431805,5.264789146,5.542622103,6.057428298,6.605685094,6.002865235,6.106372538,
Mroh8,7.033755066,6.617228705,7.315602432,5.672466995,6.111576499,6.663869899,6.169347388,6.44804235,6.38077481,
Msantd3,10.38088257,10.27655932,10.20063319,8.979432163,9.096878483,9.129034721,8.500910045,8.545807335,8.478550669,
Msc,6.272588642,6.014390877,6.375057986,5.952742141,6.005526597,6.419829228,5.222443067,5.21407975,4.925893365,
Msh5,7.35269014,7.022327761,7.29403301,6.256573294,6.30095681,6.202722934,7.704630361,7.665423397,7.324954016,
Msi1,12.1821342,12.0885873,12.34579839,10.76620186,10.89228981,10.75451582,10.48684247,10.77432631,10.46486566,
Mslnl,3.946819592,3.946819592,4.628953906,4.797297984,4.845814326,4.944524007,5.222443067,5.476590446,5.383652204,
Msr1,5.559884198,5.504053499,5.223174336,5.085345012,5.199167673,5.371738788,4.82166924,4.927153808,4.798659241,
Mst1r,5.715497399,5.611183931,5.957371974,5.085345012,5.199167673,5.291197604,5.548713537,5.21407975,5.522305252,
Msx3,5.115554843,5.154490335,5.276289156,4.298206152,3.946819592,4.305706542,4.342841854,4.477965382,4.298781957,
Mt1,9.678381896,9.26081045,9.885849794,11.33731336,10.9837999,12.03403428,12.62954968,12.7666754,13.13156132,
Mt2,8.984096532,8.565951056,9.301608273,11.09750055,10.49716817,11.88978431,12.18540736,12.13355431,12.68116711,
Mt3,10.57989911,10.44658156,10.83124921,11.73567529,11.78966109,12.21054234,12.92941018,12.65974526,12.73544709,
Mta1,12.13803825,12.06248875,12.35968371,11.47368136,11.48571077,11.31825083,11.02272381,11.29672437,10.93552138,
Mta2,12.28456932,12.26678313,12.31629617,11.6194975,11.78334693,11.78584011,11.31396925,11.15411944,11.23840744,
Mtap,10.13630474,10.03593067,9.735411599,8.952887535,8.921515918,8.703332184,8.825292165,8.873364521,8.807828256,
Mtbp,9.06227301,9.072648609,9.075929275,7.713561384,7.54897091,7.560806929,7.522750683,7.41856814,7.422073109,
Mtcl1,11.77587892,12.03483592,12.30699328,12.87999979,12.86891158,12.93906615,13.2527506,13.54295773,13.30488649,
Mtfp1,8.819951435,8.919630509,8.99872195,10.17366979,10.27212835,10.55093927,10.71374355,10.50726298,10.40624915,
Mtfr2,7.290795427,7.426991229,7.215839265,5.700754594,5.717103733,5.615032369,4.505148894,4.477965382,4.443350558,
Mthfd2l,9.458867487,9.391860524,9.149207711,8.303805616,8.432743586,7.847277198,7.387146185,7.46280182,7.736601311,
Mtln,8.83539236,8.673018559,8.881733679,9.307329307,9.510430566,9.664179665,10.16698739,9.683376001,9.669892177,
Mtmr6,11.24631025,11.3086828,11.04538852,12.19339993,12.03421544,11.99693322,12.20982821,12.34440638,12.33370505,
Mtmr7,10.05956804,10.10576111,10.01555112,10.87896625,10.78828591,10.76807083,10.86160735,11.15946281,11.17535877,
Mtus1,11.5965105,11.93365053,11.90525502,12.83005522,12.87975414,12.94679889,12.94852946,13.08575071,12.99707037,
Muc1,6.465675152,6.086265615,6.456836917,5.552079221,5.62056132,5.332223242,5.166444018,5.109496035,5.554479493,
Muc15,6.068868362,6.197895906,5.465727008,6.63277746,6.427194588,6.260397362,6.803924334,7.286830073,7.108089135,
Muc3a,6.309823479,7.229019707,7.283123757,9.900041701,9.571826547,9.843631852,9.310604441,9.675935875,8.922086033,
Muc6,4.746238033,4.920025245,4.628953906,5.417725796,6.30095681,4.741308563,7.345897381,6.411497836,5.784537704,
Mul1,9.999211108,10.20454911,10.37103371,10.83969748,10.82379362,11.14146353,11.36730683,11.32136585,11.21844073,
Mum1l1,8.717001606,8.665629637,8.1198831,7.655205659,7.669627538,7.220613477,7.030693493,7.085812398,7.299597402,
Mus81,9.76310774,9.800156202,10.0236886,10.34663836,10.51328377,10.72292913,11.22726044,10.94261182,10.93075703,
Mut,9.977127186,10.03163134,9.853343488,10.57857804,10.52619912,10.55093927,10.93410371,10.94183678,11.01548304,
Mvd,10.97477253,11.27027975,11.59933551,10.88879356,11.24870379,11.28480611,9.947037377,9.836369415,9.608121438,
Mvk,10.45565086,10.40286988,10.72348599,10.38583199,10.43165025,10.67970793,9.574617807,9.539103986,9.359249378,
Mvp,8.333216098,8.2718334,8.385951016,8.812286126,8.900644556,8.821361464,9.969090428,9.752205648,9.645168106,
Mxd3,9.886727153,9.766052647,10.15691153,7.707194041,8.070509054,7.929384025,6.605685094,6.782243946,6.649888335,
Mxra7,9.202189605,8.998171021,9.306954548,8.167071659,8.325342715,8.179754593,8.713051914,8.605844879,8.690178497,
Myadml2,5.211512424,5.205081865,5.589360288,5.929705679,5.487594175,5.842811095,6.41534432,6.739187913,6.703132491,
Myadml2os,5.340411871,5.205081865,5.421343507,5.755423155,5.515437786,5.789718124,6.012949349,6.002865235,5.909050342,
Myb,9.051739052,9.216023423,9.072793597,7.064697161,7.264465141,6.906714187,5.04383899,6.373937213,5.585786893,
Mybl1,9.143881117,9.205878815,8.242395234,8.115240899,7.811121505,7.320186811,8.560311878,8.747589928,8.8018702,
Mybl2,9.329712693,9.221069066,9.349025354,6.426185154,6.530293055,6.31567495,5.04383899,5.514854255,5.346102975,
Mybpc1,8.713662676,8.950347455,8.917139591,11.35868438,10.36893037,11.44725661,11.27841515,11.28577176,11.30619174,
Mybpc3,10.35970312,11.04711936,11.57960388,13.28335603,12.97314265,13.22606846,11.88712356,11.98309921,11.74736432,
Mybph,9.276435675,9.175009222,9.587332638,10.73229528,10.72577556,10.78699302,11.7241554,11.76997209,11.90036201,
Myc,9.342729763,9.3066224,9.63060653,7.942050032,7.879318793,7.888919609,6.373849679,6.694749033,6.18527919,
Mycbpap,7.244866559,6.807410805,7.120827009,6.344056968,6.479721298,6.87108123,8.062426848,7.657848484,7.505614103,
Mycl,11.37905631,11.35987133,11.44249791,9.967848809,10.29005691,10.24706858,8.379277993,8.195812397,8.3819336,
Mycn,11.92245152,11.89631229,11.90701535,9.510205328,9.700758896,9.597839401,7.494762186,7.5555257,7.220680845,
Myct1,6.75896688,6.32048216,6.676276001,6.836172147,6.479721298,6.351296951,5.464877754,5.551883538,5.489205366,
Myef2,12.39979469,12.43136329,11.78452932,11.78047716,11.82820383,11.25736753,11.22444295,11.19502191,11.29140142,
Myh11,6.575603924,7.010559861,7.215839265,8.585602754,7.554954251,7.906401808,8.542294401,8.961736748,9.075618205,
Myh13,5.008974566,4.850183503,5.276289156,6.533387362,6.386416879,6.745248481,4.975930952,5.052653307,5.489205366,
Myh14,9.783931097,9.951967458,10.42486518,11.72474395,11.62287157,11.80916624,12.13866037,12.42481295,11.99174489,
Myh3,6.214707707,6.358964477,6.476532524,5.343966955,5.199167673,5.002544992,5.222443067,5.109496035,5.383652204,
Myh7,6.046637809,5.611183931,6.120391647,5.034786019,4.661754141,4.88231934,5.626893655,4.693849087,5.585786893,
Myh8,6.174665482,6.197895906,6.041450609,4.552486881,4.401737764,4.659186687,3.946819592,3.946819592,3.946819592,
Myl2,5.008974566,4.850183503,5.167146792,6.14337031,6.492541444,6.297502225,6.674977371,6.354756713,6.364137183,
Myl4,6.415698594,6.32048216,6.835711565,6.37751133,6.005526597,6.516528704,5.70023731,5.476590446,5.810455313,
Mylk2,6.090724588,6.260600531,6.353814425,5.61380521,5.336957764,5.48242828,4.342841854,3.946819592,4.55346985,
Mylk3,5.559884198,5.740430125,5.627816665,5.343966955,4.994921327,5.446737061,4.628545518,4.927153808,4.645639408,
Mymx,5.592684461,5.644825187,5.549601477,4.552486881,4.845814326,4.305706542,3.946819592,3.946819592,3.946819592,
Myo15,4.888069113,4.984543098,5.107768521,6.473168243,5.806528255,6.162826774,6.864164304,8.856996673,7.785916281,
Myo15b,5.455497463,5.800235406,6.310291547,5.519944586,5.459052027,5.517031959,4.731640105,4.477965382,4.443350558,
Myo16,11.9271378,11.94436126,12.18025771,11.44399585,11.51153454,11.26806902,10.36676093,10.76734377,10.56049859,
Myo18b,6.253573838,5.93826338,5.98601464,5.643496973,5.59515262,5.676112896,5.664126541,5.052653307,5.489205366,
Myo1a,6.89714849,7.895163319,7.673241651,7.661808782,8.483576163,8.226833244,6.532706149,6.275167702,6.022384568,
Myo1b,11.34713182,11.28840854,11.08946402,10.694374,10.8045909,10.41866699,9.362811039,9.522605763,9.599567291,
Myo1d,7.620028755,7.569206639,7.673241651,9.048750694,8.879466163,8.972411346,9.177004648,9.76803716,9.466645152,
Myo1f,7.508227879,7.364025128,7.43854813,6.410154727,6.330052552,6.677770585,6.475292283,5.977375366,5.675011681,
Myo1g,5.953671129,5.504053499,6.014031034,5.264789146,5.199167673,5.409872943,5.04383899,5.21407975,5.087128098,
