Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
Fndc3c1,4.888069113,4.773650133,4.732107496,3.946819592,3.946819592,3.946819592,4.342841854,3.946819592,3.946819592,
Fndc5,9.993721753,10.26195277,10.58629132,12.39720737,12.40190131,12.54125798,13.27606647,13.26853686,13.18426501,
Fndc9,6.272588642,6.280861119,6.495946694,5.486885905,5.784774642,5.446737061,5.588454398,5.656414421,5.181007278,
Folh1,6.046637809,5.770696386,5.665065909,6.981980351,6.74789688,7.082792808,8.212574212,8.076234105,8.544301101,
Folr2,6.677357109,6.502772188,6.676276001,6.23836602,5.9490389,6.121682076,5.956312051,5.109496035,5.383652204,
Fos,8.388750873,7.907779086,7.97247931,10.15982089,8.282902335,9.50371624,9.999079117,9.565517276,8.922086033,
Fosb,5.211512424,4.773650133,4.732107496,5.929705679,4.898500703,6.142415778,6.455602753,6.100067281,5.909050342,
Fosl1,7.795196004,7.654191739,7.714257619,8.393503661,8.297188967,8.396969013,8.505567579,8.711621363,8.768652563,
Foxb1,6.068868362,5.800235406,5.665065909,4.725018687,5.336957764,4.88231934,3.946819592,4.477965382,4.55346985,
Foxd1,7.235498968,7.461756223,7.560726296,7.114025479,6.386416879,6.31567495,6.708358667,6.46595144,6.506980388,
Foxf2,8.532200242,8.445956264,8.530250565,7.920225981,7.935292257,8.017791899,7.030693493,7.316109106,7.308100168,
Foxj1,9.095985838,8.450265172,9.034623123,7.858434548,7.691495378,8.560132354,9.174085233,8.930794201,8.935751138,
Foxl2,7.02286654,6.986723475,7.238625232,6.562528267,5.92964002,6.385998638,5.956312051,6.100067281,6.065058152,
Foxl2os,6.79803563,6.793674258,6.495946694,5.929705679,5.542622103,5.868532675,6.119270508,6.212194678,5.419957554,
Foxm1,11.46237862,11.29320465,11.63747705,8.357483423,8.580146966,8.090911596,5.897041016,6.002865235,5.703332298,
Foxn4,5.256269211,5.154490335,5.044477838,4.442542171,4.401737764,4.741308563,3.946819592,3.946819592,3.946819592,
Foxo3,12.00251208,12.22189871,12.13403434,12.98663242,12.89652504,12.96196769,12.9128806,13.48215777,13.45024177,
Foxo6,8.229371625,8.300769118,8.539374393,6.699610264,6.935881092,6.649827503,5.956312051,6.190520649,5.810455313,
Foxp2,10.06350341,9.889983415,9.343833184,8.619773881,8.448822758,8.060030268,8.779904635,8.696978339,8.798881898,
Foxq1,8.569631919,8.338464745,8.411029765,7.936625138,7.630532908,8.065223584,7.387146185,7.344794938,7.665885431,
Fpgs,9.093420374,9.001107909,9.364490556,8.248042898,8.321853536,8.469175336,8.348487464,8.126363481,8.138560243,
Fras1,9.963150994,9.580309237,9.589527464,8.061465982,8.155356512,8.116147373,7.760443414,7.344794938,7.82181652,
Frem2,10.70776006,10.75111238,10.8615239,9.613755176,9.516536861,9.451281144,7.119418243,7.286830073,7.698464073,
Frem3,5.800061259,5.800235406,5.701192328,5.034786019,4.401737764,4.453070666,3.946819592,4.477965382,4.55346985,
Frmd4a,13.42783134,13.3816295,13.36860823,12.31473724,12.43127521,12.12730787,10.7756823,11.32968453,11.13035694,
Frmd4b,10.80888911,10.83161871,10.96232195,10.13997114,10.22257759,10.04310617,9.099108124,9.308321306,9.316035695,
Frmd8os,6.090724588,6.176316041,6.495946694,7.123686919,7.084998862,7.008464784,6.819230739,6.768040067,6.851573506,
Frmpd1os,4.307977989,4.590723327,4.343081986,3.946819592,3.946819592,4.453070666,5.834846819,4.323450672,5.087128098,
Frmpd3,9.686911993,9.550562801,10.05260909,9.063711995,9.019413,8.999726857,9.763141778,10.3349589,9.858068473,
Frmpd4,9.192633939,9.440251345,9.140249189,10.8512318,10.65144649,10.66699576,11.69849791,11.98610948,11.87010909,
