cluster,p6_1,p6_2,p22_1,p22_2
C1,9.203957285,9.677865773,8.092604495,8.14604228
C1,8.209502451,8.761738393,5.120717887,4.570782057
C1,8.42638835,9.79088878,6.903443298,7.325288648
C1,2.239414547,3.147787115,3.947110142,3.224599095
C1,3.908780733,3.504453844,3.480091316,2.815492623
C1,7.770312601,8.069363915,7.267709491,7.475207842
C1,8.73927987,9.083237259,7.964390164,7.868278464
C1,10.08961412,10.41127075,8.57237957,8.573465297
C1,3.018817099,2.239414547,3.737910156,2.239414547
C1,8.276746781,8.053687426,5.768631163,5.271373879
C1,4.90102179,4.584494734,3.480091316,3.224599095
C1,6.509329256,6.817009823,4.125002911,3.802130128
C1,3.018817099,2.886944729,2.873919726,2.815492623
C1,9.474090638,10.04054455,7.543888276,7.941776085
C1,9.379384319,9.849548526,8.72892995,8.73977896
C1,9.904337104,10.86255518,8.950840043,9.272065437
C1,5.642309649,4.754765158,4.351817253,4.570782057
C1,8.041791565,8.377078607,4.280601186,4.180548944
C1,7.643539579,7.691214406,5.996811553,6.238925734
C1,8.729713342,8.951299985,7.852918773,7.627788923
C1,9.415631695,9.672745025,6.1749871,5.776512767
C1,6.774712159,7.9159636,6.366350325,6.760547723
C1,3.747622097,3.643452153,4.954273273,4.244046675
C1,9.281298543,9.83586945,7.250207316,7.785849732
C1,5.467303916,5.316123701,4.125002911,4.043002559
C1,9.676852356,10.03789185,8.651113006,8.711170664
C1,9.956526929,10.84293395,9.037493878,9.360126567
C1,5.096293985,3.877596741,5.403696019,3.88798429
C1,6.793231834,7.07717428,5.817286739,5.816409361
C1,5.869964052,6.435861729,9.062756919,9.307242652
C1,3.329026725,4.072526908,4.125002911,3.88798429
C1,7.233605824,7.117981154,7.713070005,8.015967809
C1,9.385489152,9.808115919,7.7694202,7.849303243
C1,9.154765804,9.643379017,9.69687316,9.88855101
C1,3.559337299,3.643452153,4.039290574,4.043002559
C1,6.5315783,6.403155175,6.017742475,6.253482643
C1,9.982937376,10.4812828,6.857916747,7.028851853
C1,10.61239175,10.96035389,8.072841067,7.795795478
C1,4.17760713,3.766574302,3.480091316,3.048875787
C1,8.914165704,9.113788934,7.744647248,7.638883061
C1,9.809902603,10.07459297,7.693786144,7.588272695
C1,9.636469849,10.34091874,7.31897477,7.703712037
C1,7.233605824,7.035176499,8.898480449,9.126040017
