Cluster,p7_1,p7_2,p7_3,p60_1,p60_2,p60_3
C1,1.777484563,1.636820653,0.190354273,0.523753188,1.100313294,1.475507388
C1,5.387608837,5.594064104,5.776739335,5.003345326,4.880873798,4.91522319
C1,3.933563679,2.883224682,3.255566421,1.32614153,2.884232875,2.230545466
C1,2.800777536,1.839624878,0.798527262,1.96063623,1.316966604,2.230545466
C1,7.595357667,8.07145389,7.32632083,3.494059992,5.194175063,5.416868498
C1,0.466620815,1.418949057,0.798527262,0.81455324,1.886555137,1.475507388
C1,4.732942691,5.738000155,5.707916562,1.96063623,1.886555137,0.463850475
C1,6.105017528,6.075908849,6.65047531,1.32614153,1.708718636,1.251741235
C1,8.065942409,8.07955595,7.439973303,7.066640839,7.403443478,6.7820123
C1,6.960601738,6.970500767,7.180909967,5.762893189,6.065216103,5.934991974
C1,4.573151153,5.077631151,4.39075405,2.144268054,1.519269432,1.8780661
C1,3.292342918,3.306550256,4.457874863,1.32614153,-0.690024527,0.748917179
C1,0.967673239,2.451963967,2.295481976,0.20334136,2.211646358,1.01040625
C1,5.648043713,6.034210095,5.082578121,4.1209934,3.843089825,3.694306431
C1,1.864764436,1.184133124,4.457874863,2.909914295,2.053871551,4.390174561
C1,6.163150935,6.005707601,5.776739335,3.691860644,3.109976061,3.403691102
C1,2.031631886,2.747448877,1.063643415,0.20334136,1.100313294,0.748917179
C1,6.485019529,6.005707601,5.522037425,4.041589306,4.928633409,4.031050583
C1,6.163150935,6.525455886,6.702807104,2.316342015,2.884232875,2.54235952
C1,1.498670054,2.20617105,0.798527262,1.32614153,0.616028764,1.01040625
C1,5.232362053,5.497446197,5.966373453,3.161084605,4.135827038,4.107776219
C1,2.264454147,2.20617105,4.099200794,1.553199444,3.109976061,2.54235952
C1,2.61244816,3.134185241,2.888255989,3.959202031,4.066218432,3.601525353
C1,2.47873576,2.529066795,2.456871611,0.20334136,1.100313294,0.463850475
C1,2.031631886,3.073837461,4.019770847,-0.579165711,0.342892318,-0.202410215
C1,6.056675686,6.193936213,5.936405427,1.96063623,3.505842881,3.403691102
C1,0.327886772,0.505725822,-2.345563936,-2.345563936,-2.345563936,3.297979537
C1,7.064657187,7.25721409,7.218296447,6.126251685,5.935957403,5.747214043
C1,4.857425603,4.672431463,4.647427631,0.81455324,0.042943207,1.8780661
C1,2.47873576,2.603947073,1.063643415,1.764119994,0.616028764,1.475507388
C1,6.303515074,5.885682589,6.479756523,1.080825804,1.519269432,1.683734349
C1,5.695707311,5.594064104,5.482329809,4.1209934,4.928633409,4.107776219
C1,4.881458414,4.351346776,4.586102587,4.343172738,2.999718182,4.253576091
C1,3.191467492,3.073837461,4.249879888,2.478006692,2.763095286,3.187258255
C1,3.242445326,3.973876001,3.255566421,4.668970525,4.975322356,5.016000992
C1,5.272304499,5.052938162,5.636016523,4.19760974,4.393890528,4.322956969
C1,4.111975294,3.250483283,3.573223391,1.553199444,3.505842881,3.504761002
C1,1.399584791,1.303792928,1.744544939,0.20334136,1.100313294,1.01040625
C1,1.687467601,1.184133124,0.509117162,0.81455324,0.342892318,0.150200239
C1,3.341197963,3.361301768,4.457874863,1.764119994,1.708718636,1.683734349
C1,2.546454163,3.134185241,3.573223391,-1.121400783,-0.294352584,1.683734349
C1,4.783625419,3.664875958,4.175844789,2.909914295,0.616028764,4.322956969
C1,7.380305363,7.490694422,6.595999722,4.544562615,5.109396804,4.809324261
C1,4.276907126,3.414788638,4.764983708,2.478006692,3.505842881,3.504761002
C1,0.466620815,0.505725822,1.534267771,0.523753188,0.342892318,1.475507388
C1,4.006676461,2.20617105,3.139257059,2.316342015,2.211646358,2.54235952
C1,3.571036608,3.134185241,3.669965431,1.32614153,1.886555137,1.251741235
C1,4.006676461,4.419541764,4.175844789,3.388291474,2.211646358,2.54235952
C1,2.97593071,2.816258983,3.366391456,2.909914295,1.519269432,2.391041593
C1,3.481858693,3.617023385,4.821386842,2.478006692,2.053871551,2.820698663
C1,7.622477113,7.436109263,7.009336538,5.103853146,5.794133741,5.495887182
C1,4.179457308,4.419541764,4.586102587,3.038752302,2.884232875,3.297979537
C1,2.031631886,2.290639018,1.744544939,2.144268054,1.100313294,1.683734349
C1,2.111460363,3.073837461,1.063643415,1.080825804,1.519269432,0.463850475
C1,4.179457308,4.094134492,4.175844789,3.388291474,2.360740204,2.230545466
C1,5.914512796,6.005707601,6.719808038,4.544562615,4.268704783,3.504761002
C1,5.98088613,6.048248177,6.185630257,6.517134593,6.686130503,6.362122507
