"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"17399",68632,68632,"1.69549177",49.60115277,-0.021494861,0.572857475,-0.03752218,0.970068655,0.984814209,0.006645694,"Not Sig","Unchanged","Abtb2","Promoter"
"17956",70634,70634,"2.64259642",439.1333493,-0.488942195,0.301786435,-1.620159616,0.105197994,0.24230881,0.615630794,"Not Sig","Unchanged","Cfap61","Promoter"
"17957",70644,70644,"2.267565796",185.1679405,0.433947144,0.387499904,1.119863877,0.262771774,0.449370615,0.34739533,"Not Sig","Unchanged","Cfap61","Promoter"
"18401",72196,72196,"2.969531091",932.247208,1.63923352,0.582580858,2.813744218,0.004896817,0.026324868,1.579633798,"Not Sig","Unchanged","Slpi","Promoter"
"18578",72960,72960,"2.184911247",153.0774597,-0.745245151,0.582127992,-1.28020841,0.200471849,0.376181574,0.424602481,"Not Sig","Unchanged","Tshz2","Promoter"
"18579",72961,72961,"1.868232881",73.83000207,-0.289393361,0.602766268,-0.480108752,0.631150065,0.776414107,0.109906583,"Not Sig","Unchanged","Tshz2","Promoter"
"18580",72962,72962,"2.281411309",191.1662888,0.591235973,0.690064213,0.856783995,0.391564273,0.581142208,0.235717581,"Not Sig","Unchanged","Tshz2","Promoter"
"18581",72963,72963,"1.736687021",54.53646971,0.210184535,0.599254981,0.350743075,0.725781107,0.841437696,0.074978036,"Not Sig","Unchanged","Tshz2","Promoter"
"18583",73010,73010,"3.064314532",1159.616889,0.017484861,0.755947855,0.023129718,0.9815468,0.990561889,0.004118385,"Not Sig","Unchanged","Zfp217","Promoter"
"18584",73011,73011,"1.697332873",49.81187315,-0.136479868,0.514546002,-0.265243278,0.790822057,0.883310225,0.053886742,"Not Sig","Unchanged","Zfp217","Promoter"
"18618",73272,73272,"2.181967557",152.0433946,1.427177671,0.443669918,3.216755552,0.00129649,0.009971011,2.001260813,"Not Sig","Unchanged","Pmepa1","Promoter"
"18619",73278,73278,"3.070613919",1176.559567,2.45794488,0.695487109,3.534134348,0.000409113,0.004298768,2.366655976,"Sig","Up","Pmepa1","Promoter"
"18814",74096,74096,"2.153589439",142.4260529,0.815838398,0.428036065,1.906003872,0.056649703,0.156890237,0.804404081,"Not Sig","Unchanged","Fabp5","Promoter"
"18815",74097,74097,"2.919102178",830.0460333,0.251067703,0.52384694,0.479276835,0.631741699,0.776875931,0.109648334,"Not Sig","Unchanged","Fabp5","Promoter"
"18925",74669,74669,"2.813178572",650.3970638,0.2104842,0.736240865,0.285890406,0.774962062,0.873598426,0.058688157,"Not Sig","Unchanged","Gnb4","Promoter"
"19102",75688,75688,"2.741118204",550.9576321,0.349980365,0.441691581,0.792363677,0.428148652,0.613966676,0.2118552,"Not Sig","Unchanged","Plch1","Promoter"
"19689",77540,77540,"1.491148409",30.98477947,-1.723248508,0.481779142,-3.576843324,0.000347768,0.003811311,2.418925564,"Not Sig","Unchanged","Vangl1","Promoter"
"19690",77541,77541,"2.568601531",370.3407745,0.92667506,0.438388471,2.113821694,0.034530499,0.110001783,0.958600275,"Not Sig","Unchanged","Vangl1","Promoter"
"19691",77543,77543,"2.840770693",693.0597742,1.152693403,0.70557566,1.633692131,0.102323512,0.237809494,0.62377081,"Not Sig","Unchanged","Vangl1","Promoter"
"19813",78042,78042,"2.775987035",597.017464,0.613798615,0.402659073,1.524363055,0.127418044,0.276427281,0.558419098,"Not Sig","Unchanged","Elapor1","Promoter"
"19839",78112,78112,"2.305511324",202.074412,0.793741287,0.469706583,1.689866217,0.091053552,0.219198939,0.659161551,"Not Sig","Unchanged","Ntng1","Promoter"
"19840",78113,78113,"2.682668008",481.5795179,1.133042711,0.660045611,1.71661275,0.086049951,0.210777666,0.67617541,"Not Sig","Unchanged","Ntng1","Promoter"
"19841",78114,78114,"1.886329736",76.97146213,0.719786539,0.399385537,1.802234864,0.071508462,0.185010035,0.732804714,"Not Sig","Unchanged","Ntng1","Promoter"
"19917",78440,78440,"1.715299676",51.91581493,-1.780478995,0.495717454,-3.591721418,0.000328501,0.003653611,2.43727767,"Not Sig","Unchanged","Fnbp1l","Promoter"
"19918",78441,78441,"1.979617839",95.41526025,0.387333235,0.664854733,0.582583255,0.56017388,0.723367445,0.14064104,"Not Sig","Unchanged","Fnbp1l","Promoter"
"19919",78442,78442,"3.01970599",1046.419899,0.339663305,0.741900338,0.457828751,0.647075478,0.787978419,0.103485677,"Not Sig","Unchanged","Fnbp1l","Promoter"
"19920",78443,78443,"2.203074243",159.6151987,0.670167813,0.411748937,1.627612734,0.103607027,0.239870883,0.620022466,"Not Sig","Unchanged","Fnbp1l","Promoter"
"19921",78451,78451,"3.055904604",1137.377425,0.728174618,0.741211763,0.982411039,0.32589739,0.516711396,0.28675196,"Not Sig","Unchanged","Pde5a","Promoter"
"19977",78682,78682,"1.953288512",89.80251747,0.377683968,0.594161066,0.635659234,0.524998553,0.695907007,0.15744879,"Not Sig","Unchanged","Enpep","Promoter"
"19978",78683,78683,"1.868498869",73.87523389,-0.895260514,0.467122834,-1.916541966,0.055296147,0.154190911,0.811941224,"Not Sig","Unchanged","Enpep","Promoter"
"19979",78685,78685,"1.767390503",58.53161443,-1.545671199,0.425876566,-3.629387767,0.000284094,0.003279521,2.48418963,"Not Sig","Unchanged","Enpep","Promoter"
"20089",79205,79205,"1.840745438",69.30194725,-1.842596372,0.454620991,-4.053038486,5.06e-05,0.000908227,3.041805389,"Not Sig","Unchanged","Bmpr1b","Promoter"
"20090",79206,79206,"1.818925583",65.90609546,-1.58921803,0.485755713,-3.271640432,0.001069255,0.00867793,2.061583863,"Not Sig","Unchanged","Bmpr1b","Promoter"
"20091",79207,79207,"1.550003183",35.48159898,-1.474366804,0.490569669,-3.005417779,0.002652163,0.016828511,1.773954319,"Not Sig","Unchanged","Bmpr1b","Promoter"
"20092",79214,79214,"2.566044809",368.1669581,-0.457436457,0.66419121,-0.688712,0.491004523,0.668559627,0.174859853,"Not Sig","Unchanged","Bmpr1b","Promoter"
"20230",79889,79889,"1.833838006",68.20842257,0.100908648,0.520658809,0.193809546,0.846325012,0.91633541,0.037945531,"Not Sig","Unchanged","Tox","Promoter"
"20231",79894,79894,"2.805355601",638.7863118,0.309900219,0.705441227,0.439299841,0.660444289,0.797504198,0.098267022,"Not Sig","Unchanged","Tox","Promoter"
"20547",81235,81235,"1.66131634",45.84757184,-1.012074701,0.53584047,-1.888761222,0.058923831,0.16122081,0.792578902,"Not Sig","Unchanged","Gm12408","Promoter"
"20548",81236,81236,"1.260062291",18.19961879,-0.949209238,0.580478374,-1.63521895,0.102003157,0.237219445,0.624849715,"Not Sig","Unchanged","Gm12408","Promoter"
"20618",81537,81537,"3.007623449",1017.708612,0.916027497,0.755092177,1.213133342,0.225078844,0.405716607,0.391777215,"Not Sig","Unchanged","Tmeff1","Promoter"
"20619",81538,81538,"1.856558605",71.87181386,0.25469113,0.481373809,0.529092206,0.596741488,0.751380313,0.124140188,"Not Sig","Unchanged","Tmeff1","Promoter"
"20620",81542,81542,"1.471557533",29.61812303,-0.91526175,0.473965742,-1.931071528,0.053474207,0.150579056,0.822235429,"Not Sig","Unchanged","Tmeff1","Promoter"
"20648",81723,81723,"2.52342131",333.7500273,0.282568136,0.613613395,0.460498644,0.645158344,0.786693224,0.104194591,"Not Sig","Unchanged","Zfp462","Promoter"
"20649",81724,81724,"2.081174341",120.5519781,-0.091577528,0.602885904,-0.151898605,0.879266909,0.935354649,0.029023691,"Not Sig","Unchanged","Zfp462","Promoter"
"20650",81725,81725,"2.000344619",100.0793828,0.823099534,0.59719383,1.378278696,0.168117258,0.333985434,0.476272474,"Not Sig","Unchanged","Zfp462","Promoter"
"20651",81726,81726,"2.223148488",167.1662068,0.341598004,0.548380729,0.62292124,0.53333628,0.702404512,0.153412707,"Not Sig","Unchanged","Zfp462","Promoter"
"20652",81727,81727,"2.693229769",493.4347926,0.406722122,0.548629874,0.741341552,0.458486374,0.64052176,0.193466112,"Not Sig","Unchanged","Zfp462","Promoter"
"20760",82195,82195,"2.075149907",118.8912538,-0.408307594,0.646029842,-0.632025903,0.527369951,0.697638045,0.156369843,"Not Sig","Unchanged","Whrn","Promoter"
"20761",82201,82201,"1.693340946",49.35611252,-1.100390778,0.566863288,-1.941192525,0.052234929,0.148035141,0.829635179,"Not Sig","Unchanged","Whrn","Promoter"
"20762",82202,82202,"2.909191668",811.319039,0.83479509,0.699664158,1.19313685,0.232815782,0.414939141,0.382015597,"Not Sig","Unchanged","Whrn","Promoter"
"20803",82588,82588,"2.895856808",786.7863336,1.89456875,0.733164613,2.58409737,0.009763423,0.043630563,1.360209184,"Not Sig","Unchanged","Mpdz","Promoter"
"20833",82815,82815,"2.692127487",492.1839945,1.360355912,0.475296402,2.862121206,0.004208159,0.023587602,1.627316206,"Not Sig","Unchanged","Adamtsl1","Promoter"
"20834",82834,82834,"2.225312506",168.0012474,-1.137204152,0.426258014,-2.66787747,0.007633209,0.036387318,1.439049958,"Not Sig","Unchanged","Adamtsl1","Promoter"
"20835",82840,82840,"2.146411014",140.0912511,0.791092748,0.366187294,2.160350075,0.030745579,0.10113733,0.995088514,"Not Sig","Unchanged","Adamtsl1","Promoter"
"20931",83390,83390,"2.810164293",645.8985254,0.547049764,0.780532923,0.700866995,0.483386023,0.661827402,0.179255255,"Not Sig","Unchanged","Cachd1","Promoter"
"21336",84754,84754,"2.706094865",508.2704549,0.933249367,0.536562899,1.739310283,0.0819802,0.203458147,0.691524915,"Not Sig","Unchanged","Mfsd2a","Promoter"
"21363",84807,84807,"3.006851178",1015.900509,0.905246172,0.680179557,1.330892942,0.18322424,0.353832613,0.45120214,"Not Sig","Unchanged","Macf1","Promoter"
"21364",84810,84810,"1.394976204",24.82997051,0.728495883,0.664885587,1.09567104,0.273222761,0.461044555,0.336257103,"Not Sig","Unchanged","Macf1","Promoter"
"21365",84811,84811,"2.176456786",150.1263016,0.801856919,0.484138067,1.656256702,0.097669845,0.230157277,0.63797529,"Not Sig","Unchanged","Macf1","Promoter"
"21366",84812,84812,"1.813489926",65.08635125,0.729332088,0.494252074,1.475627775,0.140043845,0.294956941,0.530241379,"Not Sig","Unchanged","Macf1","Promoter"
"21367",84815,84815,"1.442217287",27.68326353,0.3931882,0.540218295,0.727832069,0.466716391,0.647507403,0.188755262,"Not Sig","Unchanged","Macf1","Promoter"
"21368",84816,84816,"1.712494649",51.58158098,0.19925981,0.677149135,0.294262814,0.768557086,0.869488291,0.060736262,"Not Sig","Unchanged","Macf1","Promoter"
"21369",84827,84827,"2.968831939",930.7476299,1.897895784,0.673579194,2.817628279,0.004837978,0.026092427,1.583485519,"Not Sig","Unchanged","Macf1","Promoter"
"21372",84831,84831,"2.755116099",569.0050211,1.12472616,0.381202589,2.950468317,0.003172926,0.019199258,1.71671556,"Not Sig","Unchanged","Macf1","Promoter"
"21373",84832,84832,"2.949236769",889.686026,2.035678548,0.642401248,3.168858335,0.00153039,0.011218294,1.950073184,"Sig","Up","Macf1","Promoter"
"21548",85500,85500,"3.066337766",1165.031763,0.169948188,0.623293429,0.272661607,0.78511335,0.879789016,0.055621464,"Not Sig","Unchanged","Marcksl1","Promoter"
"21793",86226,86226,"3.415159993",2601.117633,1.648287552,0.671153489,2.455902528,0.014053127,0.056983098,1.244253943,"Not Sig","Unchanged","Clic4","Promoter"
"21840",86350,86350,"2.985623393",967.4385595,0.916205053,0.495775407,1.848024408,0.064598812,0.17222447,0.763905143,"Not Sig","Unchanged","E2f2","Promoter"
