"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"19771",77915,77915,"1.550248745",35.50166693,2.142804674,0.543701558,3.941141313,8.11e-05,0.001290993,2.889076142,"Sig","Up","Slc6a17","Promoter"
"19772",77916,77916,"2.913401551",819.2218949,2.13156361,0.507183212,4.202748747,2.64e-05,0.000552678,3.257527535,"Sig","Up","Slc6a17","Promoter"
"19862",78195,78195,"2.973008766",939.742278,1.665889714,0.641794222,2.595675776,0.00944051,0.042529803,1.371306633,"Not Sig","Unchanged","Slc35a3","Promoter"
"19881",78319,78319,"1.787184364",61.26103977,-0.214667963,0.464307714,-0.462339859,0.64383762,0.785829861,0.104671472,"Not Sig","Unchanged","Tlcd4","Promoter"
"19882",78320,78320,"2.634155606",430.6808942,0.536546444,0.460602073,1.164880653,0.244067306,0.428183042,0.368370537,"Not Sig","Unchanged","Tlcd4","Promoter"
"19883",78321,78321,"1.70171995",50.31760366,1.742391822,0.522277312,3.336143047,0.000849494,0.007348281,2.133814273,"Not Sig","Unchanged","Tlcd4","Promoter"
"19884",78322,78322,"2.95687405",905.4699668,1.821240264,0.533339101,3.414788568,0.000638315,0.005960865,2.224690696,"Not Sig","Unchanged","Tlcd4","Promoter"
"19885",78324,78324,"1.513689701",32.63545719,1.77836992,0.940982761,1.889907015,0.058770397,0.160925417,0.793375357,"Not Sig","Unchanged","Tlcd4","Promoter"
"19950",78571,78571,"1.609349503",40.67705501,0.419911842,0.791038265,0.530836321,0.595532209,0.750459569,0.1246727,"Not Sig","Unchanged","Ank2","Promoter"
"19951",78572,78572,"1.7567172",57.11066276,0.307162963,0.632775932,0.485421375,0.627377473,0.773747518,0.111400731,"Not Sig","Unchanged","Ank2","Promoter"
"19952",78574,78574,"1.547075644",35.24322512,-0.800514573,0.64974925,-1.232036164,0.217935576,0.397281003,0.400902201,"Not Sig","Unchanged","Ank2","Promoter"
"19953",78575,78575,"1.399413728",25.08497818,-0.077312961,0.679897554,-0.113712663,0.909465574,0.951957751,0.021382326,"Not Sig","Unchanged","Ank2","Promoter"
"19954",78576,78576,"2.127376738",134.0839324,-0.271250834,0.67239934,-0.403407347,0.686648583,0.815245364,0.088711662,"Not Sig","Unchanged","Ank2","Promoter"
"19955",78586,78586,"1.128699056",13.44928065,0.33268234,0.883509834,0.376546279,0.706510817,NA,NA,"Not Sig","Unchanged","Ank2","Promoter"
"19956",78589,78589,"2.661221242",458.3753371,0.678908124,0.413282505,1.642721662,0.100440535,0.234707363,0.629473287,"Not Sig","Unchanged","Ank2","Promoter"
"19957",78590,78590,"1.915071149",82.2377367,1.653787583,0.442824664,3.734632956,0.000187989,0.002418427,2.616467059,"Not Sig","Unchanged","Ank2","Promoter"
"19958",78597,78597,"1.744407524",55.51463946,0.024362589,0.707754086,0.034422392,0.972540328,0.985883439,0.006174429,"Not Sig","Unchanged","Ank2","Promoter"
"19959",78598,78598,"2.530198382",338.9989724,0.044380186,0.523052262,0.084848474,0.932381856,0.964792741,0.015565973,"Not Sig","Unchanged","Ank2","Promoter"
"19960",78612,78612,"1.987887407",97.24950674,-0.017352825,0.435989516,-0.039801014,0.968251768,0.983849593,0.00707129,"Not Sig","Unchanged","Ank2","Promoter"
"19961",78613,78613,"2.50396311",319.1266767,0.106308624,0.351376335,0.302549186,0.762233444,0.865344425,0.062811,"Not Sig","Unchanged","Ank2","Promoter"
"19962",78617,78617,"2.774597554",595.1104193,1.514958556,0.57383441,2.640062238,0.00828908,0.038673636,1.412584991,"Not Sig","Unchanged","Ank2","Promoter"
"19968",78640,78640,"2.704921928",506.8995762,1.139912589,0.557608586,2.044288087,0.040925095,0.124193337,0.905901705,"Not Sig","Unchanged","Tifa","Promoter"
"20005",78787,78787,"2.416177562",260.7219295,0.76797809,0.731328679,1.050113461,0.29366595,0.483080368,0.315980612,"Not Sig","Unchanged","Lef1","Promoter"
"20006",78788,78788,"2.548564201",353.6422959,1.097575079,0.734305056,1.494712682,0.134989443,0.287481573,0.541389987,"Not Sig","Unchanged","Lef1","Promoter"
"20007",78789,78789,"2.175937605",149.9469393,1.202988894,0.670148753,1.795107265,0.072636612,0.186966035,0.728237282,"Not Sig","Unchanged","Lef1","Promoter"
"20011",78815,78815,"2.879298676",757.353568,2.595660099,0.668260473,3.884204146,0.000102666,0.001543233,2.811568526,"Sig","Up","Sgms2","Promoter"
"20027",78893,78893,"1.691419532",49.13823263,1.599586775,0.606669774,2.636667992,0.008372473,0.038969506,1.409275101,"Not Sig","Unchanged","Mir1895","Promoter"
"20028",78894,78894,"2.886168677",769.4292229,1.389947268,0.581001658,2.392329261,0.016741816,0.06490404,1.187728267,"Not Sig","Unchanged","Mir1895","Promoter"
"20136",79390,79390,"1.894578339",78.44736104,0.264971744,0.425409007,0.622863502,0.533374224,0.702424528,0.153400332,"Not Sig","Unchanged","4930503B20Rik","Promoter"
"20137",79391,79391,"2.435457382",272.5570259,-0.638574001,0.58220683,-1.096816403,0.272721658,0.460554245,0.336719211,"Not Sig","Unchanged","4930503B20Rik","Promoter"
"20148",79510,79510,"1.339356478",21.84522275,-1.32836719,0.609058431,-2.181017654,0.029182111,0.097460235,1.011172546,"Not Sig","Unchanged","Gipc2","Promoter"
"20149",79511,79511,"2.194043509",156.3304252,0.68623216,0.404281188,1.697413039,0.089618599,0.21684337,0.663853853,"Not Sig","Unchanged","Gipc2","Promoter"
"20150",79512,79512,"1.472674709",29.69441055,0.028206778,0.521292777,0.054109283,0.956848097,0.977703301,0.009792918,"Not Sig","Unchanged","Gipc2","Promoter"
"20151",79513,79513,"2.305218656",201.9382817,-0.73754129,0.37670875,-1.957855481,0.050246973,0.143940558,0.841816817,"Not Sig","Unchanged","Gipc2","Promoter"
"20152",79514,79514,"2.218108861",165.2375932,0.335884947,0.356638927,0.941806743,0.346291592,0.537433256,0.269675463,"Not Sig","Unchanged","Gipc2","Promoter"
"20153",79516,79516,"1.868295673",73.84067748,1.296691434,0.495149487,2.618787797,0.008824282,0.040481349,1.392745028,"Not Sig","Unchanged","Gipc2","Promoter"
"20154",79517,79517,"1.983540309",96.28093729,1.465206177,0.511613074,2.863895101,0.004184666,0.023498945,1.628951637,"Not Sig","Unchanged","Gipc2","Promoter"
"20155",79521,79521,"2.653707603",450.513286,1.821734374,0.534124455,3.410692689,0.000647981,0.006026513,2.219933926,"Not Sig","Unchanged","Gipc2","Promoter"
"20156",79522,79522,"2.328783338",213.198104,1.028946494,0.561270061,1.833246713,0.06676589,0.176090888,0.754263116,"Not Sig","Unchanged","Gipc2","Promoter"
"20208",79813,79813,"2.729935317",536.9518179,1.927414225,0.526152545,3.66322323,0.000249061,0.002972932,2.526815038,"Not Sig","Unchanged","Lyn","Promoter"
"20282",80230,80230,"2.898524787",791.6346349,1.563616957,0.559937549,2.792484553,0.005230496,0.02764636,1.55836204,"Not Sig","Unchanged","Runx1t1","Promoter"
"20283",80231,80231,"1.603974556",40.1767272,0.623923945,0.576957645,1.081403377,0.27951772,0.467882526,0.329863174,"Not Sig","Unchanged","Runx1t1","Promoter"
"20284",80232,80232,"2.590009836",389.0539561,0.945068144,0.479216178,1.972112352,0.048596782,0.14051667,0.852272151,"Not Sig","Unchanged","Runx1t1","Promoter"
"20285",80234,80234,"1.841560074",69.43206377,-1.05999487,0.416760301,-2.543416124,0.010977441,0.047593853,1.322449136,"Not Sig","Unchanged","Runx1t1","Promoter"
"20286",80238,80238,"2.200294014",158.5966515,0.07484868,0.560918802,0.13343942,0.893845871,0.943670159,0.025179778,"Not Sig","Unchanged","Runx1t1","Promoter"
"20287",80239,80239,"1.833141044",68.09904852,0.892873142,0.657787897,1.357387611,0.174658083,0.342421396,0.465439107,"Not Sig","Unchanged","Runx1t1","Promoter"
"20288",80247,80247,"1.708130723",51.06586854,-1.194273754,0.479479784,-2.490769776,0.012746669,0.052998758,1.27573431,"Not Sig","Unchanged","Runx1t1","Promoter"
"20289",80248,80248,"1.288147584",19.41545549,-0.156875689,0.622875538,-0.2518572,0.801151443,0.889613036,0.050798862,"Not Sig","Unchanged","Runx1t1","Promoter"
"20315",80369,80369,"1.574160148",37.5111301,0.08278099,0.691891315,0.1196445,0.904764767,0.9494423,0.022531423,"Not Sig","Unchanged","Prdm13","Promoter"
"20316",80370,80370,"2.552484567",356.8490685,1.654782372,0.742427517,2.228880711,0.025821843,0.089081673,1.050211635,"Not Sig","Unchanged","Prdm13","Promoter"
"20356",80630,80630,"2.986575628",969.5620947,1.670373614,0.607552362,2.749349221,0.005971373,0.030388787,1.517286636,"Not Sig","Unchanged","Rragd","Promoter"
"20423",80951,80951,"1.757492327",57.21268465,0.93451479,0.484056178,1.930591598,0.053533578,0.150694102,0.821903745,"Not Sig","Unchanged","Cntfr","Promoter"
"20424",80952,80952,"1.624851838",42.15526635,2.095480276,0.602980461,3.475204279,0.000510464,0.005062227,2.295658393,"Sig","Up","Cntfr","Promoter"
