"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"29494",114678,114678,"1.92028019",83.2300566,-0.041808476,0.501080037,-0.083436722,0.93350429,0.965430456,0.015279005,"Not Sig","Unchanged","Dusp4","Promoter"
"29495",114679,114679,"3.188017037",1541.760935,1.649770475,0.603604946,2.733195751,0.006272304,0.031538102,1.501164446,"Not Sig","Unchanged","Dusp4","Promoter"
"29496",114680,114680,"2.094578885",124.3308449,0.63939126,0.670081584,0.954199123,0.339982858,0.531017159,0.274891445,"Not Sig","Unchanged","Dusp4","Promoter"
"29497",114681,114681,"1.831186856",67.79331261,0.929996682,0.748879491,1.241850916,0.214291573,0.392814258,0.405812756,"Not Sig","Unchanged","Dusp4","Promoter"
"30096",116602,116602,"2.877320076",753.9109925,1.649737022,0.475169978,3.471888162,0.000516812,0.005108159,2.291735615,"Not Sig","Unchanged","Junb","Promoter"
"30097",116603,116603,"2.726970957",533.2992304,2.730218559,0.418693593,6.520803283,6.99e-11,2.55e-08,7.593700357,"Sig","Up","Junb","Promoter"
"30098",116604,116604,"2.686576436",485.9330478,2.293362224,0.397178938,5.774128497,7.74e-09,1.01e-06,5.99672666,"Sig","Up","Junb","Promoter"
"30562",118432,118432,"1.67831681",47.67786618,1.037303991,0.531838515,1.950411567,0.051127084,0.145788914,0.8362755,"Not Sig","Unchanged","Adamts18","Promoter"
"30563",118439,118439,"2.033224804",107.9505363,0.01126664,0.638202273,0.017653714,0.985915106,0.992606359,0.003222947,"Not Sig","Unchanged","Adamts18","Promoter"
"30564",118440,118440,"1.873722617",74.76917987,-1.074724312,0.466496937,-2.30381858,0.02123283,0.077283778,1.111911657,"Not Sig","Unchanged","Adamts18","Promoter"
"30565",118441,118441,"2.575467314",376.2420348,1.277176038,0.503296009,2.537624015,0.011160782,0.048163245,1.317284262,"Not Sig","Unchanged","Adamts18","Promoter"
"30656",119122,119122,"2.079879482",120.1930849,1.704632176,0.519543771,3.281017446,0.001034333,0.008472804,2.071972845,"Not Sig","Unchanged","Gse1","Promoter"
"30657",119123,119123,"2.876723978",752.8769095,1.346542339,0.50606362,2.660816318,0.007795147,0.036950074,1.43238469,"Not Sig","Unchanged","Gse1","Promoter"
"30658",119124,119124,"2.327657336",212.646058,1.215459133,0.477869791,2.543494391,0.010974982,0.047591909,1.322466871,"Not Sig","Unchanged","Gse1","Promoter"
"30659",119125,119125,"2.500024424",316.2455503,2.367209476,0.538262053,4.397875463,1.09e-05,0.000284746,3.545543109,"Sig","Up","Gse1","Promoter"
"30660",119126,119126,"2.101923904",126.4514762,2.156356494,0.415893796,5.184872955,2.16e-07,1.35e-05,4.869410165,"Sig","Up","Gse1","Promoter"
"30661",119137,119137,"2.555745959",359.5389605,1.650902701,0.384831371,4.289937944,1.79e-05,0.00041388,3.383125411,"Not Sig","Unchanged","Gse1","Promoter"
"30662",119138,119138,"2.797665067",627.5741801,2.225149265,0.582581773,3.819462548,0.000133743,0.00188552,2.72456881,"Sig","Up","Gse1","Promoter"
"30663",119139,119139,"2.938687509",868.3354058,2.49507968,0.524521473,4.756868518,1.97e-06,7.58e-05,4.12004959,"Sig","Up","Gse1","Promoter"
"30665",119145,119145,"2.343967679",220.7840416,0.915753745,0.380005778,2.409841636,0.015959446,0.062642776,1.203129002,"Not Sig","Unchanged","Gse1","Promoter"
"30666",119147,119147,"2.192908522",155.922404,1.737928512,0.361072284,4.813242642,1.49e-06,6.12e-05,4.213333427,"Not Sig","Unchanged","Gse1","Promoter"
"30667",119148,119148,"1.804046662",63.68639436,0.579450293,0.504087354,1.14950373,0.25034833,0.435419983,0.361091643,"Not Sig","Unchanged","Gse1","Promoter"
"30705",119335,119335,"3.098283273",1253.958814,1.258425323,0.464839287,2.707226686,0.006784791,0.033387533,1.476415675,"Not Sig","Unchanged","Jph3","Promoter"
"30706",119337,119337,"1.846031461",70.15061149,1.678819715,0.408725389,4.107451502,4e-05,0.000760167,3.119090801,"Not Sig","Unchanged","Jph3","Promoter"
"30707",119338,119338,"1.827289001",67.18758029,0.847256552,0.601038412,1.409654582,0.158641702,0.320961312,0.493547313,"Not Sig","Unchanged","Jph3","Promoter"
"30748",119460,119460,"1.453929696",28.44000681,-0.055475986,0.591963998,-0.093715136,0.925335447,0.960812974,0.017361141,"Not Sig","Unchanged","Piezo1","Promoter"
"30749",119461,119461,"2.42844914",268.1940508,-1.270108671,0.44880193,-2.82999824,0.004654826,0.025369124,1.595694531,"Not Sig","Unchanged","Piezo1","Promoter"
"30750",119463,119463,"1.698928479",49.99521947,0.63435756,0.520619015,1.218467903,0.223046215,0.403297392,0.394374586,"Not Sig","Unchanged","Piezo1","Promoter"
"30751",119464,119464,"2.650134021",446.8214576,1.818726743,0.40487889,4.4920266,7.05e-06,0.000202756,3.693026629,"Not Sig","Unchanged","Piezo1","Promoter"
