,X,res_2.rownames,log_mean_counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpadj,significant,change,SYMBOL,annotation
132,3737,peak3737,2.137403645,137.2156492,1.60038651,0.52844283,3.028495082,0.002457751,0.030349661,1.517846158,Sig,Up,Pisd-ps1,Promoter
133,3739,peak3739,1.732266489,53.98417754,1.512023378,0.369537888,4.091659951,4.28E-05,0.001697974,2.770068863,Sig,Up,Sfi1,Promoter
134,3741,peak3741,1.631444025,42.80002525,1.277689646,0.365211433,3.498493014,0.000467895,0.009715856,2.012518919,Sig,Up,Sfi1,Promoter
135,3742,peak3742,1.720168188,52.50107399,1.153483525,0.366798512,3.144733386,0.001662383,0.023595902,1.62716341,Sig,Up,Sfi1,Promoter
136,3749,peak3749,1.473004931,29.71699775,1.77614035,0.408292703,4.350164322,1.36E-05,0.000704658,3.152021911,Sig,Up,Sfi1,Promoter
137,3750,peak3750,1.315790772,20.69144265,1.711997787,0.520417508,3.289662166,0.001003077,0.016415085,1.784756861,Sig,Up,Sfi1,Promoter
138,3755,peak3755,1.508270211,32.23073512,1.917555459,0.493106458,3.888725096,0.000100772,0.003231566,2.490586904,Sig,Up,Sfi1,Promoter
139,3764,peak3764,0.95766511,9.071207687,2.396844541,0.82380219,2.909490373,0.003620185,0.038880636,1.41026664,Sig,Up,Tug1,Promoter
140,3825,peak3825,1.103875802,12.70210803,1.880441487,0.615475214,3.055267613,0.002248598,0.028807613,1.540492725,Sig,Up,Gck,Promoter
141,3838,peak3838,0.92048742,8.326978047,2.501689023,0.867544687,2.883642837,0.003931043,0.040969931,1.387534764,Sig,Up,H2az2,Promoter
147,3982,peak3982,0.900602364,7.954307274,2.625981076,0.889812091,2.951163625,0.003165792,0.035731173,1.446952723,Sig,Up,Rab1a,Promoter
154,4283,peak4283,1.333750385,21.56504579,2.63856597,0.688147689,3.834301867,0.000125921,0.003810226,2.419049319,Sig,Up,Ublcp1,Promoter
158,4498,peak4498,0.812172502,6.488921228,4.257944801,1.234295616,3.449696123,0.000561218,0.01102182,1.957746684,Sig,Up,Fnip1,Promoter
161,4681,peak4681,0.754507642,5.682083895,3.29910869,1.151455587,2.865163649,0.004167938,0.042759853,1.368963793,Sig,Up,Drg2,Promoter
162,4754,peak4754,1.120934865,13.21097482,2.10127888,0.735775459,2.855869758,0.004291912,0.043671639,1.359800509,Sig,Up,Ubb,Promoter
171,4934,peak4934,0.793049142,6.209392923,4.336451783,1.291433724,3.357858559,0.000785488,0.013906311,1.856788067,Sig,Up,Eif4a1,Promoter
172,4949,peak4949,2.34850888,223.1047825,1.153505935,0.180343165,6.396172175,1.59E-10,4.13E-08,7.384065826,Sig,Up,Slc16a11,Promoter
173,4977,peak4977,1.739412288,54.87977073,1.255538045,0.294913779,4.257305469,2.07E-05,0.000983706,3.007134834,Sig,Up,Pld2,Promoter
